brand,type,model,cubic_capacity,max_power,max_torque,seats,weight,max_engine_speed,seconds_to_100,top_speed,sports_car,tau
'Audi','80','Base',1588,40,100.0,5,980,4800,15.5,151,0,34.58997168
'Audi','100','Base',1994,85,170.0,5,1250,5200,10.7,190,0,21.97828867
'Audi','100','4A/C4',1984,85,168.0,5,1349,5400,13.1,179,0,23.68917512
'Audi','100','4A/C4',1984,74,157.0,5,1335,5500,13.1,175,0,26.92814644
'Audi','100','4A/C4',1984,85,168.0,5,1333,5400,11.5,184,0,23.4082064
'Audi','100','4A/C4',2309,98,186.0,5,1393,5500,12.2,189,0,22.03700253
'Audi','100','4A/C4',2309,98,186.0,5,1379,5500,10.5,194,0,21.81552512
'Audi','100','4A/C4',2598,110,225.0,5,1470,5750,11.3,200,0,21.33810922
'Audi','100','4A/C4',2598,110,225.0,5,1450,5750,9.8,203,0,21.04779481
'Audi','100','4A/C4',2771,128,250.0,5,1429,5500,9.5,207,0,18.1156069
'Audi','100','4A/C4',2771,128,250.0,5,1413,5500,8.3,212,0,17.91277295
'Audi','100','4A/C4',1984,85,168.0,5,1313,5400,12.6,188,0,23.0569955
'Audi','100','4A/C4',1984,74,157.0,5,1282,5500,12.6,182,0,25.85908895
'Audi','100','4A/C4',1984,85,168.0,5,1297,5400,11,191,0,22.77602679
'Audi','100','4A/C4',2309,98,186.0,5,1367,5500,11.9,199,0,21.62568734
'Audi','100','4A/C4',2309,98,186.0,5,1342,5500,10.2,202,0,21.23019196
'Audi','100','4A/C4',2598,110,225.0,5,1412,5750,11,207,0,20.49619743
'Audi','100','4A/C4',2598,110,225.0,5,1416,5750,9.5,210,0,20.55426031
'Audi','100','4A/C4',2771,128,250.0,5,1397,5500,9.2,216,0,17.70993901
'Audi','100','4A/C4',2771,128,250.0,5,1372,5500,8,218,0,17.39301096
'Audi','100','S2',1588,63,124.0,5,1110,5600,16.3,156,0,24.87519829
'Audi','100','S2',1588,63,124.0,5,1110,5600,13.4,160,0,24.87519829
'Audi','100','S2',2144,85,166.0,5,1170,5500,12.9,175,0,20.94809954
'Audi','100','S2',2144,100,185.0,5,1170,5700,11.4,185,0,17.80588461
'Audi','100','S2',2144,85,166.0,5,1170,5500,11.2,179,0,20.94809954
'Audi','100','S2',2144,100,185.0,5,1170,5700,9.5,190,0,17.80588461
'Audi','100','S3',1781,55,138.0,5,1130,4600,15.7,163,0,29.85061144
'Audi','100','S3',1781,66,145.0,5,1117,5200,13,173,0,24.58933111
'Audi','100','S3',1781,66,150.0,5,1240,5200,13.4,174,0,27.29701931
'Audi','100','S3',1994,85,170.0,5,1231,5200,13.5,184,0,21.64421869
