brand,type,model,cubic_capacity,max_power,max_torque,seats,weight,max_engine_speed,seconds_to_100,top_speed,sports_car,tau
'Ford','Escort','Custom',1117,37,83.0,5,790,5000,17.2,144,0,27.60642426
'Ford','Sierra','Berline',1593,55,121.0,5,1030,4900,14.1,165,0,26.46061761
'Ford','Fiesta','SGHIA',1296,51,100.0,5,775,6000,12.2,163,0,20.39173949
'Ford','Sierra','BerlineL',1796,66,137.0,5,1060,5400,11.8,178,0,23.38352661
'Ford','Fiesta','XR2',1597,71,132.0,5,850,6000,9.9,180,1,16.92615461
'Ford','Escort','1 generation',1098,29,78.0,4,805,5300,22.7,128,0,33.1754351
'Ford','Escort','1 generation',1098,32,77.5,4,785,6000,19.8,132,0,29.31827562
'Ford','Escort','1 generation',1098,32,84.0,4,805,5300,22.4,129,0,30.06523806
'Ford','Escort','1 generation',1098,35,73.5,4,785,6000,18.2,135,0,26.80528057
'Ford','Escort','1 generation',1297,38,92.0,4,825,5000,21,130,0,27.05038844
'Ford','Escort','1 generation',1297,41,91.0,4,805,5500,20.5,139,0,24.46330768
'Ford','Escort','1 generation',1297,46,101.0,4,815,5800,14.8,147,0,22.07511278
'Ford','Escort','1 generation',1297,52,92.0,4,815,6000,14.9,158,0,19.52798438
'Ford','Escort','1 generation',1297,35,85.0,4,805,5000,19.2,134,0,28.65701757
'Ford','Escort','1 generation',1297,38,92.0,4,805,5000,17.8,137,0,26.39462144
'Ford','Escort','1 generation',1297,40,85.0,4,785,5500,20.2,141,0,24.45191173
'Ford','Escort','1 generation',1297,41,91.0,4,785,5500,18.5,145,0,23.85552364
'Ford','Escort','1 generation',1599,62,124.5,4,891,5500,11.1,167,0,18.86758392
'Ford','Escort','1 generation',1558,77,140.0,4,785,5500,9.7,185,1,13.29808041
'Ford','Escort','1 generation',1098,29,78.0,4,880,5300,27.1,125,0,36.26631415
'Ford','Escort','1 generation',1098,32,77.5,4,880,6000,22.6,128,0,32.86634719
'Ford','Escort','1 generation',1098,35,73.5,4,840,6000,19.6,134,0,28.68335755
'Ford','Escort','1 generation',1297,38,82.0,4,870,5000,23,130,0,28.52586417
'Ford','Escort','1 generation',1297,41,91.0,4,860,5500,19.4,136,0,26.13471379
'Ford','Escort','1 generation',1297,35,85.0,4,880,5000,21.3,135,0,31.32692604
'Ford','Escort','1 generation',1297,38,82.0,4,870,5000,18.5,137,0,28.52586417
'Ford','Escort','2 generation',1098,30,70.5,5,835,5300,25,123,0,35.83334107
'Ford','Escort','2 generation',1098,32,70.5,5,875,5500,25.2,127,0,35.20303904
'Ford','Escort','2 generation',1098,35,73.5,5,875,5500,20.8,130,0,32.1856357
'Ford','Escort','2 generation',1098,42,76.5,5,875,5700,17.4,140,0,26.82136308
'Ford','Escort','2 generation',1298,42,91.0,5,905,5500,22.3,135,0,28.92607177
'Ford','Escort','2 generation',1298,40,85.5,5,885,5500,19.4,137,0,29.70116265
'Ford','Escort','2 generation',1298,42,91.0,5,885,5500,16.8,140,0,28.28682157
'Ford','Escort','2 generation',1298,49,100.0,5,878,5000,16.5,145,0,24.054072
'Ford','Escort','2 generation',1298,51,92.0,5,885,5500,14.9,150,0,23.29502953
'Ford','Escort','2 generation',1599,62,125.0,5,945,5500,14.4,157,0,21.55627585
